date,state,vehicle_category,electric_vehicles_sold,total_vehicles_sold,fiscal_year,quarter,month,year
2021-04-01,Sikkim,2-Wheelers,0,398,2022,Q1,4,2021
2021-04-01,Sikkim,4-Wheelers,0,361,2022,Q1,4,2021
2021-04-01,Andaman & Nicobar Island,2-Wheelers,0,515,2022,Q1,4,2021
2021-04-01,Arunachal Pradesh,2-Wheelers,0,1256,2022,Q1,4,2021
2021-04-01,Arunachal Pradesh,4-Wheelers,0,724,2022,Q1,4,2021
2021-04-01,Assam,4-Wheelers,0,6576,2022,Q1,4,2021
2021-04-01,Chhattisgarh,4-Wheelers,0,1563,2022,Q1,4,2021
2021-04-01,DNH and DD,4-Wheelers,0,278,2022,Q1,4,2021
2021-04-01,Jammu and Kashmir,4-Wheelers,0,5107,2022,Q1,4,2021
2021-04-01,Ladakh,2-Wheelers,0,2,2022,Q1,4,2021
2021-04-01,Ladakh,4-Wheelers,0,20,2022,Q1,4,2021
2021-04-01,Manipur,4-Wheelers,0,808,2022,Q1,4,2021
2021-04-01,Meghalaya,2-Wheelers,0,1189,2022,Q1,4,2021
2021-04-01,Mizoram,2-Wheelers,0,1507,2022,Q1,4,2021
2021-04-01,Mizoram,4-Wheelers,0,281,2022,Q1,4,2021
2021-04-01,Nagaland,2-Wheelers,0,561,2022,Q1,4,2021
2021-04-01,Nagaland,4-Wheelers,0,747,2022,Q1,4,2021
2021-04-01,Puducherry,4-Wheelers,0,655,2022,Q1,4,2021
2021-04-01,Tripura,2-Wheelers,0,2906,2022,Q1,4,2021
2021-04-01,Tripura,4-Wheelers,0,289,2022,Q1,4,2021
2021-04-01,DNH and DD,2-Wheelers,1,657,2022,Q1,4,2021
2021-04-01,Himachal Pradesh,4-Wheelers,1,3544,2022,Q1,4,2021
2021-04-01,Meghalaya,4-Wheelers,1,930,2022,Q1,4,2021
2021-04-01,Andaman & Nicobar Island,4-Wheelers,9,168,2022,Q1,4,2021
2021-04-01,Andhra Pradesh,4-Wheelers,26,7837,2022,Q1,4,2021
2021-04-01,Bihar,4-Wheelers,4,5731,2022,Q1,4,2021
2021-04-01,Chandigarh,4-Wheelers,2,1426,2022,Q1,4,2021
2021-04-01,Delhi,4-Wheelers,61,8076,2022,Q1,4,2021
2021-04-01,Goa,4-Wheelers,8,1442,2022,Q1,4,2021
2021-04-01,Gujarat,4-Wheelers,44,17386,2022,Q1,4,2021
2021-04-01,Haryana,4-Wheelers,3,15476,2022,Q1,4,2021
2021-04-01,Jharkhand,4-Wheelers,3,3425,2022,Q1,4,2021
2021-04-01,Karnataka,4-Wheelers,90,16864,2022,Q1,4,2021
2021-04-01,Kerala,4-Wheelers,132,23660,2022,Q1,4,2021
2021-04-01,Madhya Pradesh,4-Wheelers,2,5356,2022,Q1,4,2021
2021-04-01,Maharashtra,4-Wheelers,96,16829,2022,Q1,4,2021
2021-04-01,Odisha,4-Wheelers,5,5101,2022,Q1,4,2021
2021-04-01,Punjab,4-Wheelers,4,8955,2022,Q1,4,2021
2021-04-01,Rajasthan,4-Wheelers,22,10647,2022,Q1,4,2021
2021-04-01,Tamil Nadu,4-Wheelers,75,18826,2022,Q1,4,2021
2021-04-01,Uttar Pradesh,4-Wheelers,4,23056,2022,Q1,4,2021
